1 - Jon,3,9,46,40,43,37,46
2 - Ole,16,50,228,194,210,176,226
3 - Eric,82,587,2955,2450,2792,2287,2921
4 - Gøril,4,8,37,33,32,28,37
5 - Stian,2,4,19,17,17,15,19
6 - Christine,148,947,4679,3880,4477,3678,4623
7 - Psychologist,6,38,246,214,236,204,244
8 - Margrethe,4,32,168,140,161,133,165
9 - Henrik,70,536,2707,2241,2619,2153,2685
10 - Politikvinne,3,33,168,138,159,129,165
11 - Bjørn,6,35,151,122,142,113,150
12 - Terese,3,16,83,70,80,67,83
13 - Politmann,1,19,98,80,96,78,98
14 - Reporter,11,241,1418,1188,1393,1163,1414
15 - Agent,1,18,91,74,89,72,90
16 - Hathaway,33,249,1293,1077,1237,1021,1278
17 - Medic,5,35,201,171,195,165,199
18 - Kai,4,16,63,51,59,47,63
19 - Pilot,3,28,141,116,132,107,139
20 - PIlot,2,12,92,82,86,76,92
21 - Diver,2,15,79,66,75,62,78
22 - Henrik (TV),1,79,421,343,410,332,420
23 - Margethe,5,61,324,268,309,253,322
24 - Henrik (tlf),1,2,21,20,19,18,21
25 - Announcer,2,19,103,86,101,84,103
26 - Pjotr,5,18,86,73,81,68,83
27 - Officer,21,135,703,589,677,563,698
28 - Police,2,35,198,165,194,161,197
29 - Radio host,2,16,95,81,91,77,94
30 - Man on radio,1,14,72,59,70,57,72
31 - Boy on radio,1,6,35,30,33,28,34
32 - Doctor,2,22,123,103,116,96,121
33 - Nurse,5,41,204,168,185,149,203
34 - Far,1,1,7,7,6,6,7
35 - Fan,2,8,41,35,38,32,41
36 - Sierra 2,2,15,86,73,81,68,86
37 - Digger,3,17,86,72,83,69,83
38 - Bystander,1,6,27,22,25,20,27
39 - NA1,3,26,137,114,132,109,136
40 - NA2,2,15,109,96,96,83,109
