1 - HANA,387,1482,6789,5694,6673,5578,6697
2 - ALEXEY,17,78,410,349,402,341,404
3 - MAIN TITLE,1,1,7,7,7,7,7
4 - COURIER,24,99,454,379,445,370,442
5 - YOUNG GIRL,13,51,238,200,228,190,232
6 - TEXT ON PHONE,3,12,64,55,63,54,64
7 - JEN,174,789,3645,3030,3597,2982,3599
8 - BOX SIGN,1,1,6,6,6,6,6
9 - SIGN,2,2,14,14,14,14,14
10 - TEXT ON COMPUTER,23,68,430,385,428,383,430
11 - OMNIA,49,262,1431,1218,1424,1211,1430
12 - LANDLORD,16,60,273,229,268,224,268
13 - GAME VOICE,2,3,24,23,24,23,24
14 - TEXT ON BOX,1,1,9,9,9,9,9
15 - TEXT ON TROPHY,1,2,18,17,18,17,18
16 - TEXT ON TAG,1,4,23,20,23,20,22
17 - POLICE1,11,45,210,176,207,173,204
