#Role,Lignes,Nb charactères,Répliques
1 - Nicolas,59,4406,111
2 - Adela,26,1980,50
3 - Isabel 2,8,546,14
4 - Remedios,35,3489,88
5 - Victoria,58,3216,81
6 - Eugénia,15,1476,37
7 - Assemblée,1,1,1
8 - Alonzo,4,169,5
9 - Trinidad,17,1560,39
10 - Miguel,31,1861,47
11 - Ana,10,444,12
12 - Granados,5,188,5
13 - Père Octavio,8,1248,32
14 - Rosa,18,1760,44
15 - Femme au chapeau,1,1,1
16 - Homme Granados,1,1,1
17 - Morales,32,2673,67
18 - Milagro,36,1836,46
19 - Auteur,1,1,1
20 - Voix,1,1,1
21 - Marqueze général,1,1,1
22 - Esclave gauche,1,1,1
23 - Candélà,8,355,9
24 - Esclave 2,3,43,2
25 - Thomà,22,1267,32
26 - Esclaves,1,1,1
27 - Hilaria,6,393,10
28 - Siervo,2,42,2
