1 - William,188,14294,358
2 - Daniel,81,3892,98
3 - Cameron,55,2275,57
4 - FPassenger,2,26,1
5 - Cindy,4,238,6
6 - Control Tower,2,285,8
7 - Teresa,13,356,9
8 - Brian,1,34,1
9 - Briana,7,254,7
10 - Wendy,3,114,3
11 - Dale,34,2469,62
12 - Bennett,42,2815,71
13 - Nigel,82,6116,153
14 - Spencer,3,69,2
15 - Ray,22,1660,42
16 - Richard,2,55,2
17 - Sara,1,18,1
18 - Colonel,7,373,10
19 - Dallas,2,37,1
20 - Virginia,1,112,3
21 - Jonathan,1,44,2
22 - Evan,1,43,2
23 - Turner,10,1101,28
24 - German C,1,55,2
25 - Xavier,1,98,3
26 - Hector,12,443,12
27 - German Pilot,2,34,1
28 - British Soldier,3,46,2
29 - Soldier #3,1,32,1
30 - British Pilot,1,52,2
31 - Flight Control,6,464,12
32 - German PA,1,81,3
