1 - GARANZHIN,223
2 - SHURA,7
3 - TERESHCHENKO,64
4 - MOISEEV,113
5 - HEAD OF SPORTS COMMITTEE,31
6 - OFFICIAL 1,1
7 - KSENIA,5
8 - OFFICIAL 2,1
9 - PAULAUSKAS,50
10 - GOMELKIY,9
11 - ALEXANDER BELOV,26
12 - KORKIYA,45
13 - EDESHKO,15
14 - SAKANDELIDZE,13
15 - ZHARMUKHAMEDOV,8
16 - SERGEY BELOV,43
17 - PLAYER,3
18 - DOCTOR,6
19 - PLAYERS,2
20 - TRANSLATOR,3
21 - TEAM,1
22 - PASSAGE,1
23 - AIRPORT WORKER 1,2
24 - CHAYKIN,6
25 - CUSTOMER-FAN,4
26 - CUSTOMER 1,1
27 - CUSTOMER 2,1
28 - KSENIYA,13
29 - TRAINER,7
30 - POLYAKOVA,1
31 - SURKOVA,1
32 - CANARIS,1
33 - SMIRNOVA,1
34 - NIKOLAYEVA,1
35 - SVESHNIKOVA,20
36 - VLASOVA,1
37 - SPORTSWOMAN,1
38 - SASHA BELOV,11
39 - EDESHKO/ZHARMUKHAMEDOV/BELOV,1
40 - VOLNOV,1
41 - TAXI DRIVER,1
42 - UNCLE ILIKO,4
43 - VOLNOV’S WIFE,3
44 - EDESHKO’S GIRLFRIEND,1
45 - WOMAN,2
46 - REPORTER,3
47 - VSEVOLOD,16
48 - LITHUANIAN REPORTER,4
49 - VLEVOLOD,1
50 - CUBAN,1
51 - LITHUANIAN DRIVER,3
52 - DRIVER,4
53 - LITHUANIAN TOURIST,5
54 - BRUNDAGE’S VOICE,3
55 - MEDIC,6
56 - INTERPRETER,1
57 - ADMINISTRATOR,1
58 - ANNOUNCER,19
59 - SERGEY PAVLOVICH,3
60 - REFEREE,1
61 - AKSAKAL,1
62 - SPECTATORS,1
63 - GRANDFATHER,2
64 - BASKETBALL PLAYER,2
65 - GALYA,1
66 - YERYOMINA,53
67 - MALE VOICE,1
68 - AUNT KORKIYA,1
69 - FANS,2
70 - NOT IDENTIFIED,1
71 - ANATOLIY,1
72 - YEREMINA,4
