1 - FELIPE,0
2 - NATALIE,43
3 - LUIZA,23
4 - MIGUEL,29
5 - VERÔNICA,27
6 - DÉCIO,18
7 - FALCÃO,23
8 - JOYCE,0
9 - CLARA,17
10 - ÍCARO,16
11 - FUNCIONÁRIA,1
12 - OLGA,8
13 - ANDRÉ,24
14 - PONTOCOM,19
15 - GREGORY,5
16 - ADELINO,1
17 - RUBENS,38
18 - HOMEM ALEATÓRIO,1
19 - CABO,2
20 - TAVARES,5
21 - NELSON,4
22 - SENADOR 1,1
23 - SENADOR 2,1
24 - SEGURANÇA 1,9
25 - TORQUATO,2
26 - JOEL,25
27 - SEGURANÇA 2,6
28 - FUNCIONÁRIO 1,0
29 - FUNCIONÁRIO 2,1
30 - ÍNDIOS,0
31 - PAYALL,1
32 - MENINAS,0
33 - ROSA,2
34 - DALVA,1
35 - GABI,1
36 - MÉDICO,1
