1 - AUTEUR,4
2 - VERONICA,79
3 - GREGORY,3
4 - LUIZA,29
5 - MINISTRO,2
6 - ICARO,12
7 - CLARA,20
8 - FEMME 1 EPISODE 5,1
9 - HOMME 3 EPISODE 5,1
10 - MAQUEREAU,3
11 - INSERTS,12
12 - NELSON,4
13 - MIGUEL,33
14 - NATALIE,73
15 - AMIR,10
16 - OLGA,17
17 - JUGE,2
18 - MINEUR 1,4
19 - JUSSARA,16
20 - PONTOCOM,23
21 - MARIANA,8
22 - JUIZA,5
23 - GILBERTO,2
24 - RESP MINE D'OR,9
25 - VAL,5
26 - FALCAO,19
27 - ANDRE,14
28 - ROSA,11
29 - VAGUINHO,4
30 - JOAO,3
31 - HOMME 1,2
32 - HOMME 2,4
33 - HOMME QUIDAM,1
34 - ALAN,2
35 - SHEIK,11
36 - ASSAILLANT,12
37 - GORDO,6
38 - JOYCE,7
39 - PAYALL,1
40 - LIGIA,23
41 - DECIO,8
42 - RECEPTADOR,2
