1 - Nicolas,59,4453,112
2 - Adela,26,2022,51
3 - Isabel 2,8,569,15
4 - Remedios,35,3629,91
5 - Victoria,58,3272,82
6 - Eugénia,15,1607,41
7 - Assemblée,1,7,1
8 - Alonzo,4,174,5
9 - Trinidad,17,1591,40
10 - Miguel,31,1884,48
11 - Ana,10,505,13
12 - Granados,5,321,9
13 - Père Octavio,8,1331,34
14 - Rosa,18,1774,45
15 - Femme au chapeau,1,7,1
16 - Homme Granados,1,28,1
17 - Morales,32,2690,68
18 - Milagro,36,1913,48
19 - Auteur,1,38,1
20 - Voix,1,6,1
21 - Marqueze général,1,21,1
22 - Esclave gauche,1,9,1
23 - Candélà,8,380,10
24 - Esclave 2,3,54,2
25 - Thomà,22,1275,32
26 - Esclaves,1,25,1
27 - Hilaria,6,400,10
28 - Siervo,2,56,2
