1 - __VOICEOVER,129,3
2 - JULIA GOLDSTEIN,3384,68
3 - RECEPTIONIST,62,2
4 - JAMES PETER,15,1
5 - JAMES PETERS,5011,101
6 - HANK Oâ€™CONNELL,1911,39
7 - GORDON ATKINS,2632,53
8 - JOSEPH MEEKER,365,8
9 - CHRISTINE HARRIS,6530,131
10 - JED PICKMAN,1191,24
11 - EVERYONE,41,1
12 - RACHEL,1030,21
13 - CAMERON,504,11
14 - JOE MEEKER,1582,32
15 - JED PECKHAM,58,2
16 - WALTON PETERS,103,3
17 - GORDANS ATIKINS,1591,32
18 - HANK Oâ€™CONNOLL,451,10
19 - JED PECKMAN,932,19
20 - JOE WEEKER,898,18
21 - CONTROL SCREENS,197,4
22 - JOE WEETER,938,19
23 - RADIO,41,1
24 - JIMâ€™S DAD,78,2
25 - FEMALE DOCTOR,115,3
