1 - SVENELD:,129,4694,118
2 - OLEG:,25,562,15
3 - CROWD:,67,1516,38
4 - LYUT:,5,124,4
5 - YAROPOLK:,35,918,23
6 - ROGOVOLD:,13,250,7
7 - SVENELD,4,592,15
8 - VARYAZHKO:,97,3177,80
9 - SAMOKHA:,8,170,5
10 - ROGNEDA'S MOTHER:,3,107,3
11 - ROGNEDA:,34,1139,29
12 - VLADIMIR:,171,4474,112
13 - HOVDING:,19,688,18
14 - SVENELD Voiceover,2,401,11
15 - ROGNEDA'S BROTHER:,4,49,2
16 - EINAR:,14,590,15
17 - LOBAN:,24,411,11
18 - THE MAGIAN'S,1,21,1
19 - IRINA:,41,1218,31
20 - BLUD:,12,362,10
21 - FYODOR:,47,1314,33
22 - SVENELD'S WIFE:,1,18,1
23 - PUTYATA:,5,272,7
24 - VARYAZHKO'S CIRCLE:,1,87,3
25 - SVENELD Voiceover:,9,2045,52
26 - MAGIAN'S,2,117,3
27 - Vladimir:,1,31,1
28 - THE MAGIAN'S HELPER:,4,460,12
29 - IOANN:,9,175,5
30 - ROGNEDA: -,1,32,1
31 - KAGAN:,2,57,2
32 - ANASTASIUS:,32,1605,41
33 - GREEK:,3,33,1
34 - ВЛАДИМИР:,1,6,1
