1 - SVENELD:,94
2 - OLEG:,12
3 - CROWD:,31
4 - LYUT:,3
5 - YAROPOLK:,19
6 - ROGOVOLD:,5
7 - SVENELD,12
8 - VARYAZHKO:,64
9 - SAMOKHA:,4
10 - ROGNEDA'S MOTHER:,3
11 - ROGNEDA:,23
12 - VLADIMIR:,90
13 - HOVDING:,14
14 - SVENELD Voiceover,9
15 - ROGNEDA'S BROTHER:,1
16 - EINAR:,12
17 - LOBAN:,9
18 - THE MAGIAN'S,1
19 - IRINA:,25
20 - BLUD:,8
21 - FYODOR:,27
22 - SVENELD'S WIFE:,1
23 - PUTYATA:,6
24 - VARYAZHKO'S CIRCLE:,2
25 - SVENELD Voiceover:,41
26 - MAGIAN'S,3
27 - Vladimir:,1
28 - THE MAGIAN'S HELPER:,10
29 - IOANN:,4
30 - ROGNEDA: -,1
31 - KAGAN:,2
32 - ANASTASIUS:,33
33 - GREEK:,1
34 - ВЛАДИМИР:,1
