1 - (CHARACTER),1,10,1
2 - AMARA,20,1669,42
3 - CELIN,15,1344,34
4 - OMATAKU,25,2335,59
5 - TREASURE,31,2170,55
6 - CHIEF MADUKA,22,2403,61
7 - ELDER,3,409,11
8 - CHIEF MAUDAK,1,319,8
9 - ELDERS,3,66,2
10 - MAMA,25,1162,30
11 - YOUTHS,1,16,1
12 - CHISOM,20,1632,41
13 - LADY VINA,7,587,15
14 - REX,8,374,10
15 - MRS MADUKA,12,621,16
16 - LMRS MADUKA,1,57,2
17 - HUNTER,25,1722,44
18 - HUNTER SON,15,825,21
19 - BLACK GIRL 1,4,191,5
20 - WHITE ANGELS,2,56,2
21 - NANCY,4,126,4
22 - VERA,4,132,4
23 - LILIAN,2,123,4
24 - BLACK GIRL,1,8,1
25 - ELDER 1,12,958,24
26 - ELDER 2,4,91,3
