1 - (CHARACTER),0
2 - Monica,163
3 - Winnie,92
4 - Teacher,4
5 - Barbara,98
6 - Desmond,73
7 - Kerry,61
8 - Boy3,12
9 - Bayo,15
10 - Boy2,7
11 - Boy4,5
12 - Boy5,4
13 - Boy6,3
14 - Dwarf,19
15 - Boys,2
16 - Elsie,75
17 - Scarlet,86
18 - Philip,35
19 - Tricia,35
20 - Daniella,46
21 - Clara,40
22 - Blessing,1
23 - Morris,70
24 - Melvin,61
25 - Sophie,50
26 - Boy,1
27 - Boy1,3
28 - Guy,48
29 - G.friend,7
30 - Car,32
31 - Girls,1
32 - Dark2,3
33 - Dark3,9
34 - Dark4,3
35 - Barbera,2
36 - Nonso,5
37 - Girl,1
38 - Phil,2
39 - Dad,2
40 - Students,0
41 - Girlfriend,9
42 - Ebuka,1
43 - Miss,17
44 - Miss2,3
45 - Babara,2
46 - Staff,8
